0;0:0;0;0;0;0
0;0:0;0;0;0;0
113;1:54;72;0;16;31
297;5:2;71;0;16;27
396;6:42;76;0;17;0
545;9:14;73;0;16;21
630;10:40;68;0;16;42
719;12:11;75;0;17;36
814;13:47;81;0;18;54
908;15:23;77;0;17;41
994;16:50;73;0;16;40
1090;18:28;74;0;17;46
1169;19:48;66;0;16;48
1295;21:56;70;0;16;42
1415;23:58;73;0;16;41
1546;2:12;72;0;16;22
1805;6:35;72;0;16;27
1933;8:45;73;0;17;35
2031;10:25;72;0;16;38
2126;12:2;72;0;16;41
2218;13:35;73;0;16;37
2317;15:16;76;0;17;46
2413;16:53;82;0;18;54
2514;18:36;74;0;17;45
2594;19:57;66;0;16;48
2724;22:10;72;0;16;33
2960;2:10;72;0;16;16
3064;3:55;72;0;16;23
